bioguide,name,opensecrets,rss_url,state,twitter,twitter_id
V000131,Marc A. Veasey,N00033839,http://veasey.house.gov/rss.xml,TX,RepVeasey,1074129612
V000132,Filemon Vela,N00034349,http://vela.house.gov/rss.xml,TX,RepFilemonVela,1083448909
S001192,Chris Stewart,N00033932,http://stewart.house.gov/rss.xml,UT,RepChrisStewart,1072008757
K000384,Tim Kaine,N00033177,http://www.kaine.senate.gov/rss/feeds/?type=all,VA,SenKaineOffice,1267940407
K000381,Derek Kilmer,N00034453,http://kilmer.house.gov/rss.xml,WA,RepDerekKilmer,1058917562
H001064,Denny Heck,N00031557,http://dennyheck.house.gov/rss.xml,WA,RepDennyHeck,1068499286
P000607,Mark Pocan,N00033549,http://pocan.house.gov/rss.xml,WI,RepMarkPocan,1206227149
K000385,Robin L. Kelly,N00035215,http://robinkelly.house.gov/rss.xml,IL,RepRobinKelly,1339931490
S000051,Mark Sanford,N00002424,http://sanford.house.gov/rss.xml,SC,RepSanfordSC,1499993378
S001195,Jason Smith,N00035282,http://jasonsmith.house.gov/rss.xml,MO,RepJasonSmith,1623308912
B001288,Cory A. Booker,N00035267,,NJ,senbookeroffice,2167097881
C001101,Katherine M. Clark,N00035278,,MA,RepKClark,2293131060
B001289,Bradley Byrne,N00035380,,AL,RepByrne,2253968388
B001290,Dave Brat,N00036013,,VA,RepDaveBrat,2560169238
N000188,Donald Norcross,N00036154,,NJ,DonaldNorcross,3122099613
A000370,Alma S. Adams,N00035451,,NC,RepAdams,2916086925
P000609,Gary J. Palmer,N00035691,,AL,USRepGaryPalmer,2861616083
H001072,J. French Hill,N00035792,,AR,RepFrenchHill,2953974395
W000821,Bruce Westerman,N00035527,,AR,RepWesterman,2852998461
M001197,Martha McSally,N00033982,,AZ,RepMcSally,2964949642
G000574,Ruben Gallego,N00036097,,AZ,RepRubenGallego,2966570782
D000623,Mark DeSaulnier,N00030709,,CA,RepDeSaulnier,2968007206
K000387,Stephen Knight,N00035820,,CA,SteveKnight25,2974648323
A000371,Pete Aguilar,N00033997,,CA,reppeteaguilar,3018670151
L000582,Ted Lieu,N00035825,,CA,RepTedLieu,3044993235
T000474,Norma J. Torres,N00036107,,CA,NormaJTorres,236279233
W000820,Mimi Walters,N00035391,,CA,RepMimiWalters,47798449
B001297,Ken Buck,N00030829,,CO,RepKenBuck,2862577383
C001107,Carlos Curbelo,N00035403,,FL,RepCurbelo,2853309155
C001103,"Earl L. ""Buddy"" Carter",N00035346,,GA,RepBuddyCarter,2973870195
H001071,Jody B. Hice,N00032243,,GA,congressmanhice,2975091705
L000583,Barry Loudermilk,N00035347,,GA,RepLoudermilk,2914163523
A000372,Rick W. Allen,N00033720,,GA,reprickallen,2964287128
B001294,Rod Blum,N00033744,,IA,RepRodBlum,2965083477
Y000066,David Young,N00035509,,IA,RepDavidYoung,314205957
B001295,Mike Bost,N00035420,,IL,RepBost,2964877294
A000374,Ralph Lee Abraham,N00036633,,LA,RepAbraham,2962891515
G000577,Garret Graves,N00036135,,LA,RepGarretGraves,2951574214
M001196,Seth Moulton,N00035431,,MA,teammoulton,3091316093
